date	close	volume
07/01/2008	5452.83	7376482
08/01/2008	5495.67	7641948
09/01/2008	5435.42	8601614
10/01/2008	5400.43	7106020
11/01/2008	5371.41	7714378
14/01/2008	5403.51	5967384
15/01/2008	5250.82	8176693
16/01/2008	5225.39	9409798
17/01/2008	5157.09	8092515
18/01/2008	5092.4	10139033
21/01/2008	4744.45	13561341
22/01/2008	4842.54	15852756
23/01/2008	4636.76	12595746
24/01/2008	4916.98	12844824
25/01/2008	4878.12	9261068
28/01/2008	4848.3	6854908
29/01/2008	4941.45	7379505
30/01/2008	4873.57	7315223
31/01/2008	4869.79	8354772
01/02/2008	4978.06	8881349
04/02/2008	4973.64	5335462
05/02/2008	4776.86	7841804
06/02/2008	4816.43	8016299
07/02/2008	4723.8	7365173
08/02/2008	4709.65	6171508
11/02/2008	4682.7	5521618
12/02/2008	4840.71	7374271
13/02/2008	4855.4	6422858
14/02/2008	4858.65	7164949
15/02/2008	4771.79	6691784
18/02/2008	4861.8	3746714
19/02/2008	4885.83	5768143
20/02/2008	4812.81	6894848
21/02/2008	4858.85	6747761
22/02/2008	4824.55	6618111
25/02/2008	4919.26	5812742
26/02/2008	4973.07	7034226
27/02/2008	4968.82	6550781
28/02/2008	4865.23	7457763
29/02/2008	4790.66	7424134
03/03/2008	4742.66	5613378
04/03/2008	4675.91	5870603
05/03/2008	4756.42	5456713
06/03/2008	4678.05	5629301
07/03/2008	4618.96	6887521
10/03/2008	4566.99	5589427
11/03/2008	4627.69	6636401
12/03/2008	4697.1	6991424
13/03/2008	4630.19	6943228
14/03/2008	4592.15	7982800
17/03/2008	4431.04	9119978
18/03/2008	4582.59	7538399
19/03/2008	4555.95	9183073
20/03/2008	4533.72	9882747
25/03/2008	4692	7361727
26/03/2008	4676.68	5703699
27/03/2008	4719.53	5451905
28/03/2008	4695.92	4108124
31/03/2008	4707.07	5295517
01/04/2008	4866	7061553
02/04/2008	4911.97	6492172
03/04/2008	4887.87	5940921
04/04/2008	4900.88	5144213
07/04/2008	4944.6	4831723
08/04/2008	4912.69	4080460
09/04/2008	4874.97	4881189
10/04/2008	4859.42	5697805
11/04/2008	4797.93	5487697
14/04/2008	4766.49	4521113
15/04/2008	4780.68	4475438
16/04/2008	4855.1	6275434
17/04/2008	4862.14	5685961
18/04/2008	4961.69	7151124
21/04/2008	4910.35	5353988
22/04/2008	4872.64	4792661
23/04/2008	4944.65	5826197
24/04/2008	4929.55	5337362
25/04/2008	4978.21	5119279
28/04/2008	5012.75	3684240
29/04/2008	4977.1	4829089
30/04/2008	4996.54	4886749
02/05/2008	5069.71	5838813
05/05/2008	5063.36	2682620
06/05/2008	5040.92	4898056
07/05/2008	5075.31	5210826
08/05/2008	5055.58	4428739
09/05/2008	4960.56	5209506
12/05/2008	4976.21	2843418
13/05/2008	4998.67	5159204
14/05/2008	5055.24	5760532
15/05/2008	5057.51	4846178
16/05/2008	5078.04	5880144
19/05/2008	5142.1	4772455
20/05/2008	5054.88	5143994
21/05/2008	5027.55	6056560
22/05/2008	5028.74	5210789
23/05/2008	4933.77	5044576
26/05/2008	4937.84	2391321
27/05/2008	4906.56	4738899
28/05/2008	4971.11	5264754
29/05/2008	4975.9	5522868
30/05/2008	5014.28	5880334
02/06/2008	4935.21	4645416
03/06/2008	4983.71	4777440
04/06/2008	4915.07	5741597
05/06/2008	4907.06	6071205
06/06/2008	4795.32	6783053
09/06/2008	4799.38	5024810
10/06/2008	4761.08	6140364
11/06/2008	4660.91	6390539
12/06/2008	4672.3	6271751
13/06/2008	4682.3	5358510
16/06/2008	4657.74	4703124
17/06/2008	4686.33	5319684
18/06/2008	4618.75	5748910
19/06/2008	4591.39	6548390
20/06/2008	4509.27	8977539
23/06/2008	4511.37	4630661
24/06/2008	4473.76	6372099
25/06/2008	4536.29	5202648
26/06/2008	4426.19	5823392
27/06/2008	4397.32	6562973
30/06/2008	4434.85	6167704
01/07/2008	4341.21	6280267
02/07/2008	4296.48	6482420
03/07/2008	4343.99	7669730
04/07/2008	4266	3615144
07/07/2008	4342.59	4185182
08/07/2008	4275.61	6249982
09/07/2008	4339.66	4951975
10/07/2008	4231.56	6049128
11/07/2008	4100.64	6151880
14/07/2008	4142.53	3968718
15/07/2008	4061.15	6415709
16/07/2008	4112.45	6303888
17/07/2008	4225.99	7899204
18/07/2008	4299.36	7725629
21/07/2008	4327.14	10285371
22/07/2008	4327.26	5170706
23/07/2008	4408.74	5845718
24/07/2008	4347.99	6068277
25/07/2008	4377.18	5860055
28/07/2008	4324.45	3981412
29/07/2008	4320.49	5296065
30/07/2008	4400.55	5095058
31/07/2008	4392.36	5333632
01/08/2008	4314.34	4691103
04/08/2008	4280.63	3684395
05/08/2008	4386.35	6319630
06/08/2008	4448.33	6007810
07/08/2008	4457.43	5905562
08/08/2008	4491.85	5184887
11/08/2008	4538.49	3264130
12/08/2008	4518.48	4936518
13/08/2008	4402.97	5206228
14/08/2008	4420.91	4205920
15/08/2008	4453.62	3523643
18/08/2008	4448.84	3043562
19/08/2008	4332.79	4199328
20/08/2008	4365.87	3760586
21/08/2008	4304.61	3815524
22/08/2008	4400.45	3440148
25/08/2008	4355.87	1991546
26/08/2008	4368.55	3127651
27/08/2008	4373.08	3452954
28/08/2008	4461.49	4783493
29/08/2008	4482.6	4483998
01/09/2008	4472.13	2837049
02/09/2008	4539.07	5767539
03/09/2008	4447.13	4421896
04/09/2008	4304.01	5620493
05/09/2008	4196.66	6081487
08/09/2008	4340.18	6788270
09/09/2008	4293.34	5919971
10/09/2008	4283.66	6101665
11/09/2008	4249.07	5330811
12/09/2008	4332.66	4730250
15/09/2008	4168.97	8845236
16/09/2008	4087.4	8996210
17/09/2008	4000.11	8149775
18/09/2008	3957.86	8733468
19/09/2008	4324.87	15846613
22/09/2008	4223.51	6303121
23/09/2008	4139.82	5574174
24/09/2008	4114.54	4524744
25/09/2008	4226.81	5169054
26/09/2008	4163.38	4416633
29/09/2008	3953.48	6125750
30/09/2008	4032.1	7417427
01/10/2008	4054.54	4890385
02/10/2008	3963.28	5813326
03/10/2008	4080.75	6272896
06/10/2008	3711.98	8106883
07/10/2008	3732.22	7248299
08/10/2008	3496.89	10019562
09/10/2008	3442.7	7268919
10/10/2008	3176.49	11290494
13/10/2008	3531.5	8018705
14/10/2008	3628.52	8643946
15/10/2008	3381.07	6857899
16/10/2008	3181	8230127
17/10/2008	3329.92	7620371
20/10/2008	3448.51	5550121
21/10/2008	3475.4	4962549
22/10/2008	3298.18	5130263
23/10/2008	3310.87	5551744
24/10/2008	3193.79	6891109
27/10/2008	3067.35	5025786
28/10/2008	3114.92	6306871
29/10/2008	3402.57	7449900
30/10/2008	3407.82	6039435
31/10/2008	3487.07	5353527
03/11/2008	3527.97	3551383
04/11/2008	3691.09	5284298
05/11/2008	3618.11	4789111
06/11/2008	3387.25	5213644
07/11/2008	3469.12	4140250
10/11/2008	3505.75	3412886
11/11/2008	3336.41	3585589
12/11/2008	3233.96	4158392
13/11/2008	3269.46	3758108
14/11/2008	3291.47	4044370
17/11/2008	3182.03	3605637
18/11/2008	3217.4	3887000
19/11/2008	3087.89	4025116
20/11/2008	2980.42	5027821
21/11/2008	2881.26	4859374
24/11/2008	3172.11	5038723
25/11/2008	3209.56	5234380
26/11/2008	3169.85	3497755
27/11/2008	3250.39	2653501
28/11/2008	3262.68	3354959
01/12/2008	3080.43	3341001
02/12/2008	3152.9	3461370
03/12/2008	3166.65	3202939
04/12/2008	3161.16	3768787
05/12/2008	2988.01	3996352
08/12/2008	3247.48	4522571
09/12/2008	3297.8	4623345
10/12/2008	3320.31	3257353
11/12/2008	3306.13	2869892
12/12/2008	3213.6	3665532
15/12/2008	3185.66	2752339
16/12/2008	3251.66	3011842
17/12/2008	3241.92	4308717
18/12/2008	3234.15	3917293
19/12/2008	3225.9	5255353
22/12/2008	3151.36	2852121
23/12/2008	3128.41	2164513
24/12/2008	3116.21	664650
29/12/2008	3130.72	1355213
30/12/2008	3217.13	1528155
31/12/2008	3217.97	803467
02/01/2009	3349.69	1789540
05/01/2009	3359.92	2798939
06/01/2009	3396.22	3181606
07/01/2009	3346.09	3381029
08/01/2009	3324.33	2647645
09/01/2009	3299.5	2662143
12/01/2009	3246.12	2285362
13/01/2009	3197.89	3255900
14/01/2009	3052	3806363
15/01/2009	2995.88	3483500
16/01/2009	3016.75	3733719
19/01/2009	2989.69	2579123
20/01/2009	2925.28	3066935
21/01/2009	2905.57	4402748
22/01/2009	2869.62	3234171
23/01/2009	2849.14	3340411
26/01/2009	2955.37	3335044
27/01/2009	2954.53	2798626
28/01/2009	3076.01	3883534
29/01/2009	3009.75	2994309
30/01/2009	2973.92	3591373
02/02/2009	2930.05	2447332
03/02/2009	2982.39	2357892
04/02/2009	3068.99	3011856
05/02/2009	3066.29	2650134
06/02/2009	3122.79	3660374
09/02/2009	3134.87	2827344
10/02/2009	3020.75	2854689
11/02/2009	3027.72	2748290
12/02/2009	2964.34	3182677
13/02/2009	2997.86	2539802
16/02/2009	2962.22	1831480
17/02/2009	2875.23	3342279
18/02/2009	2874.07	2998098
19/02/2009	2872.6	2979604
20/02/2009	2750.55	4228290
23/02/2009	2727.87	2733548
24/02/2009	2708.05	3224057
25/02/2009	2696.92	3053554
26/02/2009	2744.84	3619023
27/02/2009	2702.48	3655377
02/03/2009	2581.46	3232256
03/03/2009	2554.55	3065309
04/03/2009	2675.68	4366320
05/03/2009	2569.63	3416260
06/03/2009	2534.45	3720853
09/03/2009	2519.29	3321310
10/03/2009	2663.68	3805052
11/03/2009	2674.2	3990940
12/03/2009	2694.25	3222688
13/03/2009	2705.63	3304105
16/03/2009	2791.66	3059101
17/03/2009	2767.28	3011059
18/03/2009	2760.34	2806983
19/03/2009	2776.99	4017787
20/03/2009	2791.14	4104790
23/03/2009	2869.57	3056698
24/03/2009	2874.39	3501738
25/03/2009	2893.45	2941053
26/03/2009	2892.07	2297002
27/03/2009	2840.62	2524050
30/03/2009	2719.34	2584887
31/03/2009	2807.34	2529427
01/04/2009	2839.61	2837561
02/04/2009	2992.06	5150731
03/04/2009	2958.74	3890918
06/04/2009	2929.75	3300417
07/04/2009	2902.31	2874634
08/04/2009	2921.06	2906287
09/04/2009	2974.18	2922790
14/04/2009	3000.22	3770845
15/04/2009	2985.74	2709649
16/04/2009	3038.18	3018950
17/04/2009	3091.96	4521076
20/04/2009	2969.4	3462951
21/04/2009	2973.94	3890388
22/04/2009	3025.24	3683587
23/04/2009	3008.62	3508786
24/04/2009	3102.85	3336729
27/04/2009	3102.43	2695847
28/04/2009	3051.02	3293712
29/04/2009	3116.94	3952654
30/04/2009	3159.85	4674779
04/05/2009	3237.97	2986164
05/05/2009	3225	4092383
06/05/2009	3283.51	4448579
07/05/2009	3251.52	5273997
08/05/2009	3312.59	3317788
11/05/2009	3248.67	3589770
12/05/2009	3231.1	3198565
13/05/2009	3152.9	4344964
14/05/2009	3156.29	3611767
15/05/2009	3169.05	3030090
18/05/2009	3245.39	2798055
19/05/2009	3274.96	3844404
20/05/2009	3303.37	3188957
21/05/2009	3217.41	2209060
22/05/2009	3227.97	2359442
25/05/2009	3236.16	1274161
26/05/2009	3270.09	2967681
27/05/2009	3294.86	3079509
28/05/2009	3263.7	3024918
29/05/2009	3277.65	4016895
01/06/2009	3379.49	3311904
02/06/2009	3378.04	3462537
03/06/2009	3309.65	3148833
04/06/2009	3312.03	3037067
05/06/2009	3339.05	3253751
08/06/2009	3289.66	2730349
09/06/2009	3296.73	3064879
10/06/2009	3315.27	3094611
11/06/2009	3334.94	2646892
12/06/2009	3326.14	2504420
15/06/2009	3219.58	3223315
16/06/2009	3213.95	2443483
17/06/2009	3161.14	3593530
18/06/2009	3194.06	2902212
19/06/2009	3221.27	5243297
22/06/2009	3123.25	2928505
23/06/2009	3116.82	2880077
24/06/2009	3184.76	3075143
25/06/2009	3163.1	2777523
26/06/2009	3129.73	3121050
29/06/2009	3193.68	2515461
30/06/2009	3140.44	3240969
01/07/2009	3217	2872101
02/07/2009	3116.41	3070595
03/07/2009	3119.51	1823296
06/07/2009	3082.16	2338349
07/07/2009	3048.57	2422941
08/07/2009	3009.71	2610797
09/07/2009	3025.94	2109268
10/07/2009	2983.1	2072437
13/07/2009	3052.08	1874735
14/07/2009	3081.87	1971569
15/07/2009	3171.27	2916761
16/07/2009	3199.68	2823840
17/07/2009	3218.46	2822147
20/07/2009	3270.94	2490983
21/07/2009	3302.89	2540744
22/07/2009	3305.07	2477193
23/07/2009	3373.72	3169283
24/07/2009	3366.45	3161923
27/07/2009	3372.36	2739074
28/07/2009	3330.97	2839794
29/07/2009	3365.62	3254879
30/07/2009	3435.49	3514057
31/07/2009	3426.27	4201951
03/08/2009	3477.8	3401361
04/08/2009	3476.37	2985627
05/08/2009	3458.53	3472443
06/08/2009	3477.83	2922263
